herb_id,herb_property_id
1,1
1,2
2,1
3,2
3,4
4,1
4,2
4,4
5,1
6,1
7,1
8,1
8,2
9,1
10,1
10,2
11,1
12,1
12,4
13,1
14,1
15,1
16,1
16,2
17,1
17,2
17,3
17,4
18,1
18,2
19,1
19,2
20,1
21,1
